id_departamento,nombre,id_provincia
412,JOSÉ C. PAZ,6
28,ALMIRANTE BROWN,6
42,CHICOANA,14
49,CAPITAL,22
105,TAFÍ VIEJO,90
98,TAFÍ DEL VALLE,90
49,PILCOMAYO,34
21,LAISHI,34
15,CONCORDIA,30
105,RÍO PRIMERO,14
105,SAN RAFAEL,74
189,SILÍPICA,22
119,MORENO,22
70,MAIPÚ,74
56,LAVALLE,74
49,LAS HERAS,74
119,TUNUYÁN,74
112,SANTA ROSA,74
35,LEDESMA,38
49,RINCONADA,38
161,SANTA VICTORIA,14
84,PARANÁ,30
11,COMUNA 11,2
413,JUNÍN,6
469,LINCOLN,6
210,CHACABUCO,6
840,TRES DE FEBRERO,6
357,GENERAL PUEYRREDÓN,6
791,TANDIL,6
427,LA MATANZA,6
420,LA COSTA,6
14,COMUNA 14,2
224,CHIVILCOY,6
7,CORPEN AIKE,78
119,RÍO SEGUNDO,14
581,NECOCHEA,6
568,MORÓN,6
9,COMUNA 9,2
98,URUGUAY,30
7,BELLA VISTA,18
112,MITRE,22
98,SAN MARTÍN,74
14,GENERAL ALVEAR,74
147,RÍO HONDO,22
175,COLÓN,6
7,AGUIRRE,22
98,JUAN F. IBARRA,22
154,SOBREMONTE,14
133,PELLEGRINI,22
14,CACHI,14
35,JUNÍN,74
70,SANTA BÁRBARA,38
483,LOBOS,6
693,ROQUE PÉREZ,6
532,MERCEDES,6
15,COMUNA 15,2
707,SALADILLO,6
539,MERLO,6
497,LUJÁN,6
329,GENERAL LAS HERAS,6
7,CAPITAL,74
408,HURLINGHAM,6
7,RÍO GRANDE,94
42,PALPALÁ ,38
21,GÜER AIKE,78
105,INDEPENDENCIA,46
112,ROSARIO VERA PEÑALOZA,46
28,CORONEL FELIPE VARELA,46
21,GODOY CRUZ,74
21,DIAMANTE,30
140,ROSARIO DE LA FRONTERA,14
21,CORONEL PRINGLES,74
168,TOTORAL,14
21,COLÓN,14
63,LUJÁN DE CUYO,74
28,FLORENTINO AMEGHINO,26
28,CHACABUCO,74
7,ADOLFO ALSINA,26
70,GENERAL JUAN F. QUIROGA,46
49,FAMATINA ,46
126,SANAGASTA,46
42,CHILECITO ,46
35,CHAMICAL ,46
7,ARAUCO,46
28,HUMAHUACA,38
7,COMUNA 7,2
70,PASO DE INDIOS,26
63,MÁRTIRES,26
105,BOLÍVAR,6
805,TIGRE,6
161,TERCERO ARRIBA,14
175,TULUMBA,14
182,UNIÓN,14
56,BAHÍA BLANCA,6
8,COMUNA 8,2
63,LULES,90
112,BRAGADO,6
854,25 DE MAYO,6
315,GENERAL JUAN MADARIAGA,6
4,COMUNA 4,2
14,USHUAIA,94
168,25 DE MAYO,22
875,VILLARINO,6
410,ITUZAINGÓ,6
12,COMUNA 12,2
756,SAN ISIDRO,6
147,SAN LORENZO,22
84,GENERAL OCAMPO,46
91,GENERAL SAN MARTÍN,46
6,COMUNA 6,2
56,COPO,22
91,JIMÉNEZ,22
63,BALCARCE,6
91,SAN CARLOS,74
49,HUILICHES,58
154,SARGENTO CABRAL,22
161,TAPENAGÁ,22
560,MORENO,6
770,SAN PEDRO,6
763,SAN NICOLÁS,6
595,OLAVARRÍA,6
28,AVELLANEDA,22
14,CRUZ ALTA,90
7,ATREUCÓ,42
56,JUÁREZ CELMAN,14
84,LIBERTADOR GENERAL SAN MARTÍN,22
7,ALMIRANTE BROWN,22
42,BELGRANO,22
7,ALUMINÉ,58
14,AÑELO,58
28,COLLÓN CURÁ,58
70,LAS COLONIAS,82
42,GENERAL ROCA,26
84,POMÁN,10
182,CORONEL DE MARINA L. ROSALES,6
112,PUELÉN,42
91,SIMOCA,90
126,TUPUNGATO,74
112,ULLÚM,70
35,CONHELO,42
525,MARCOS PAZ,6
154,UTRACÁN,42
94,TILCARA,38
7,COCHINOCA,38
98,SANTA LUCÍA,70
126,SAN MARTÍN,82
882,ZÁRATE ,6
56,LANGUIÑEO,26
28,GUAYMALLÉN,74
88,SAN SALVADOR,30
8,COLÓN,30
70,LA PAZ,10
161,SAN ROQUE,18
56,GENERAL ALVEAR,18
147,SAN MARTÍN,18
70,GOYA,18
168,SANTO TOMÉ,18
133,REALICÓ,42
515,MALVINAS ARGENTINAS,6
91,LAVALLE,18
112,MONTE CASEROS,18
700,SAAVEDRA,6
35,CURUZÚ CUATIÁ,18
679,RIVADAVIA,6
56,IRIONDO,82
28,FEDERACIÓN,30
35,FEDERAL,30
119,YERBA BUENA,90
14,AVELLANEDA,26
21,BARILOCHE,26
119,PASO DE LOS LIBRES,18
105,MERCEDES,18
175,SAUCE,18
91,LA POMA,14
98,SAN JAVIER,82
91,SANTA MARÍA,10
455,LAS FLORES,6
189,CORONEL DORREGO,6
196,CORONEL PRINGLES,6
203,CORONEL SUÁREZ,6
35,GENERAL ROCA,14
49,ISCHILÍN,14
21,ANDALGALÁ,10
42,GENERAL LÓPEZ,82
133,VERA,82
602,PATAGONES,6
868,VILLA GESELL ,6
49,AZUL,6
77,PACLÍN,10
63,CHOYA,22
98,SAN IGNACIO,54
70,MONTEROS,90
56,EL ALTO,10
98,SANTA ROSA,10
98,MBURUCUYÁ,18
476,LOBERÍA,6
778,SAN VICENTE,6
518,MAR CHIQUITA,6
77,9 DE JULIO,82
28,FAMAILLÁ,90
84,ITUZAINGÓ,18
14,ANCASTI,10
7,AMBATO,10
154,RIVADAVIA,22
609,PEHUAJÓ,6
616,PELLEGRINI,6
623,PERGAMINO,6
42,AYACUCHO,6
21,CASTRO BARROS,46
42,FELICIANO,30
56,GUALEGUAYCHÚ,30
63,ISLAS DEL IBICUY,30
126,SAN ALBERTO,14
448,LAPRIDA,6
70,GUATRACHÉ,42
35,GRANEROS,90
84,VALCHETA,26
28,CONCEPCIÓN,18
70,PILCANIYEU,26
91,SAN CRISTÓBAL,82
406,HIPÓLITO YRIGOYEN,6
826,TRENQUE LAUQUEN,6
833,TRES ARROYOS,6
21,ALBERTI,6
385,GENERAL VIAMONTE,6
392,GENERAL VILLEGAS,6
547,MONTE,6
63,GENERAL PAZ,18
14,BERÓN DE ASTRADA,18
154,SAN MIGUEL,18
77,ITATÍ,18
119,SAN BLAS DE LOS SAUCES,46
505,MAGDALENA,6
21,CASTELLANOS,82
112,TRANCAS,90
126,RANCUL,42
42,CAPAYÁN,10
35,BELÉN,10
399,GUAMINÍ,6
728,SAN ANDRÉS DE GILES,6
14,CASEROS,82
134,CAÑUELAS,6
140,CAPITÁN SARMIENTO,6
147,CARLOS CASARES,6
42,JUAN BAUTISTA ALBERDI,90
56,LEALES,90
84,RÍO SENGUER,26
147,TRENEL,42
7,BURRUYACÚ,90
77,RÍO CHICO,90
43,FRAY JUSTO SANTA MARÍA DE ORO,22
49,GENERAL BELGRANO,22
56,GENERAL DONOVAN,22
42,LA PAZ ,74
98,BERISSO,6
91,TALA,30
287,GENERAL ALVEAR,6
301,GENERAL BELGRANO,6
336,GENERAL LAVALLE,6
343,GENERAL PAZ,6
98,TUMBAYA,38
7,BELGRANO,82
553,MONTE HERMOSO,6
574,NAVARRO,6
10,COMUNA 10,2
28,CATRILÓ,42
91,LIMAY MAHUIDA,42
98,LOVENTUÉ,42
56,CHAPALEUFÚ,42
56,GENERAL ANGEL V. PEÑALOZA,46
77,GENERAL LAMADRID,46
28,CONSTITUCIÓN,82
154,CARLOS TEJEDOR,6
161,CARMEN DE ARECO,6
168,CASTELLI,6
77,ARRECIFES,6
56,PIRANÉ,34
294,GENERAL ARENALES,6
277,FLORENTINO AMEGHINO,6
651,PUÁN,6
98,LA VIÑA,14
91,MAIPÚ,22
462,LEANDRO N. ALEM,6
28,LAGO ARGENTINO,78
784,SUIPACHA,6
644,PINAMAR ,6
14,ADOLFO GONZALES CHAVES,6
35,LAGO BUENOS AIRES,78
35,GARAY,82
231,DAIREAUX,6
238,DOLORES,6
280,GENERAL ALVARADO,6
105,SAN JERÓNIMO,82
798,TAPALQUÉ,6
812,TORDILLO,6
112,O'HIGGINS,22
119,PRESIDENCIA DE LA PLAZA,22
7,ADOLFO ALSINA,6
84,BENITO JUÁREZ,6
28,CONESA,26
49,RÍO CHICO,78
42,MAGALLANES,78
819,TORNQUIST,6
63,LIBERTADOR GENERAL SAN MARTÍN,74
49,LA COCHA,90
655,PUNTA INDIO,6
714,SALTO,6
245,ENSENADA,6
217,CHASCOMÚS,6
351,GENERAL PINTO,6
364,GENERAL RODRÍGUEZ,6
588,9 DE JULIO,6
84,LIHUEL CALEL,42
266,EXALTACIÓN DE LA CRUZ,6
105,VALLE GRANDE,38
35,PATIÑO,34
35,EL CUY,26
91,25 DE MAYO,26
42,PILAGÁS,34
49,ESQUINA,18
133,QUITILIPI,22
119,BRANDSEN,6
308,GENERAL GUIDO,6
133,SAN JAVIER,14
648,PRESIDENTE PERÓN,6
63,PICHI MAHUIDA,26
28,CRUZ DEL EJE,14
98,TEHUELCHES,26
49,9 DE JULIO,26
49,CHALILEO,42
70,LA PAZ,30
7,BERMEJO,34
721,SALLIQUELÓ,6
735,SAN ANTONIO DE ARECO,6
63,RAMÓN LISTA,34
28,MATACOS,34
42,CURACÓ,42
84,GUASAYÁN,22
63,CHICAL CO,42
140,TOAY,42
14,CALEU CALEU,42
112,RÍO SECO,14
672,RAUCH,6
91,SARMIENTO ,26
70,INDEPENDENCIA,22
56,ÑORQUINCÓ,26
847,TRES LOMAS ,6
322,GENERAL LA MADRID,6
133,ZONDA,70
686,ROJAS,6
511,MAIPÚ,6
56,SAN ANTONIO,38
70,MINAS,14
630,PILA,6
466,LEZAMA,6
742,SAN CAYETANO,6
77,POCHO,14
77,HUCAL,42
63,GENERAL BELGRANO,46
21,CATÁN LIL,58
42,ELDORADO,54
77,LA CALDERA,14
7,APÓSTOLES,54
77,LIBERTADOR GRL. SAN MARTÍN,54
0,COMUNA 1,2
70,LEANDRO N. ALEM,54
21,CANDELARIA,54
91,OBERÁ,54
119,25 DE MAYO,54
14,CAINGUÁS,54
63,FRAY MAMERTO ESQUIÚ,10
49,GENERAL MANUEL BELGRANO,54
105,SAN JAVIER,54
84,MONTECARLO,54
63,IGUAZÚ,54
56,GUARANÍ,54
35,CONCEPCIÓN ,54
28,ANTOFAGASTA DE LA SIERRA,10
